;detector;XCoords;YCoords;shift
14389;19;33.32525252525253;-5.402020202020196;-14.929748258336149
14390;19;34.17272727272728;-5.402020202020196;-15.044374273383276
14391;19;35.020202020202014;-5.402020202020196;-15.148251105616064
14392;19;35.86767676767676;-5.402020202020196;-15.240545195023843
14393;19;36.71515151515151;-5.402020202020196;-15.322741672131617
14394;19;37.56262626262626;-5.402020202020196;-15.392999737729143
14395;19;38.41010101010101;-5.402020202020196;-15.451799965286138
14396;19;39.25757575757576;-5.402020202020196;-15.499022552358383
14397;19;40.10505050505051;-5.402020202020196;-15.534572008720945
14398;19;40.952525252525255;-5.402020202020196;-15.558377431624347
14399;19;41.8;-5.402020202020196;-15.569757439758696
14400;19;-42.1;-4.55555555555555;1.682605656692411
14401;19;-41.25252525252525;-4.55555555555555;1.6759253480930711
14402;19;-40.405050505050504;-4.55555555555555;1.6647892310366958
14403;19;-39.55757575757576;-4.55555555555555;1.6469697787051758
14404;19;-38.71010101010101;-4.55555555555555;1.6232940228735715
14405;19;-37.862626262626264;-4.55555555555555;1.5937598140258216
14406;19;-37.015151515151516;-4.55555555555555;1.5583659993919012
14407;19;-36.16767676767677;-4.55555555555555;1.517112561478353
14408;19;-35.32020202020202;-4.55555555555555;1.469261517784494
14409;19;-34.472727272727276;-4.55555555555555;1.4167964000727467
14410;19;-33.62525252525253;-4.55555555555555;1.3577367889222192
14411;19;-32.77777777777778;-4.55555555555555;1.2928236599900278
14412;19;-31.93030303030303;-4.55555555555555;1.2220608949607046
14413;19;-31.082828282828284;-4.55555555555555;1.1454547809851203
14414;19;-30.235353535353536;-4.55555555555555;1.063014245270689
14415;19;-29.38787878787879;-4.55555555555555;0.9741542841562201
14416;19;-28.54040404040404;-4.55555555555555;0.8804892988882426
14417;19;-27.692929292929293;-4.55555555555555;0.7804356333356309
14418;19;-26.845454545454547;-4.55555555555555;0.6746081535484323
14419;19;-25.9979797979798;-4.55555555555555;0.5630286647563436
14420;19;-25.150505050505053;-4.55555555555555;0.44572286737980105
14421;19;-24.303030303030305;-4.55555555555555;0.32272048488900146
14422;19;-23.455555555555556;-4.55555555555555;0.1935286930553414
14423;19;-22.60808080808081;-4.55555555555555;0.059597622226318606
14424;19;-21.76060606060606;-4.55555555555555;-0.08044346553076237
14425;19;-20.913131313131313;-4.55555555555555;-0.22602444335869595
14426;19;-20.065656565656568;-4.55555555555555;-0.3770974993818334
14427;19;-19.21818181818182;-4.55555555555555;-0.5336104914996451
14428;19;-18.37070707070707;-4.55555555555555;-0.6955069933032698
14429;19;-17.523232323232325;-4.55555555555555;-0.862988563554183
14430;19;-16.675757575757576;-4.55555555555555;-1.0352861229088894
14431;19;-15.82828282828283;-4.55555555555555;-1.213032895809104
14432;19;-14.980808080808082;-4.55555555555555;-1.3958950184190406
14433;19;-14.133333333333333;-4.55555555555555;-1.5837967064898681
14434;19;-13.285858585858588;-4.55555555555555;-1.77665807497433
14435;19;-12.438383838383839;-4.55555555555555;-1.974395145660023
14436;19;-11.590909090909093;-4.55555555555555;-2.1770752820133388
14437;19;-10.743434343434345;-4.55555555555555;-2.3841874329455557
14438;19;-9.895959595959596;-4.55555555555555;-2.5960499898609743
14439;19;-9.048484848484847;-4.55555555555555;-2.812407087145647
14440;19;-8.201010101010105;-4.55555555555555;-3.0331535161317964
14441;19;-7.3535353535353565;-4.55555555555555;-3.258179020467379
14442;19;-6.506060606060608;-4.55555555555555;-3.487367997602071
14443;19;-5.658585858585859;-4.55555555555555;-3.7206404144330567
14444;19;-4.81111111111111;-4.55555555555555;-3.9577555547196717
14445;19;-3.963636363636361;-4.55555555555555;-4.1986873130169595
14446;19;-3.1161616161616195;-4.55555555555555;-4.443253257829616
14447;19;-2.2686868686868706;-4.55555555555555;-4.691304453738824
14448;19;-1.4212121212121218;-4.55555555555555;-4.942683644841066
14449;19;-0.573737373737373;-4.55555555555555;-5.197224685780244
14450;19;0.27373737373737583;-4.55555555555555;-5.454783420860607
